season,topic,entertainment
1,1,0
1,2,0
1,3,1
1,4,1
1,5,0
1,6,1
1,7,0
1,8,0
1,9,1
1,10,0
1,11,0
1,12,1
1,13,1
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,1
2,1,0
2,2,0
2,3,1
2,4,1
2,5,1
2,6,0
2,7,1
2,8,1
2,9,1
2,10,1
2,11,0
2,12,0
2,13,1
2,14,0
2,15,0
2,16,0
2,17,1
2,18,1
2,19,1
2,20,0
2,21,1
2,22,0
2,23,0
2,24,0
2,25,0
2,26,1
2,27,1
2,28,1
2,29,1
2,30,0
3,1,0
3,2,0
3,3,0
3,4,1
3,5,1
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,1
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
3,18,1
3,19,0
3,20,1
3,21,0
3,22,0
3,23,0
3,24,0
3,25,1
3,26,0
3,27,1
3,28,1
3,29,0
3,30,0
4,1,0
4,2,1
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,1
4,11,0
4,12,0
4,13,0
4,14,0
4,15,1
4,16,0
4,17,1
5,1,1
5,2,0
5,3,0
5,4,1
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,1
5,12,1
5,13,1
6,1,1
6,2,0
6,3,0
6,4,0
6,5,0
6,6,1
6,7,0
6,8,0
6,9,0
6,10,0
7,1,0
7,2,1
7,3,0
7,4,0
7,5,1
7,6,0
7,7,0
7,8,0
7,9,0
7,10,1
7,11,0
7,12,1
7,13,1
7,14,0
7,15,0
7,16,0
7,17,0
7,18,0
8,1,0
8,2,1
8,3,0
8,4,0
8,5,0
8,6,1
8,7,0
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
8,13,0
8,14,0
8,15,0
8,16,1
8,17,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,1
9,9,0
9,10,0
9,11,0
9,12,0
9,13,1
9,14,1
9,15,0
9,16,0
9,17,0
9,18,0
9,19,0
10,1,0
10,2,0
10,3,1
10,4,0
10,5,1
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
10,11,0
10,12,0
10,13,0
10,14,0
10,15,0
10,16,0
11,1,0
11,2,0
11,3,0
11,4,0
11,5,1
11,6,0
11,7,1
11,8,0
11,9,0
11,10,0
11,11,0
11,12,0
11,13,0
11,14,0
12,1,0
12,2,0
12,3,0
12,4,1
12,5,0
12,6,0
12,7,1
12,8,0
12,9,1
12,10,1
12,11,0
12,12,0
13,1,0
13,2,0
13,3,0
13,4,1
13,5,0
13,6,0
13,7,0
13,8,1
13,9,0
13,10,1
13,11,1
13,12,1
13,13,0
13,14,0
13,15,0
13,16,0
13,17,0
13,18,0
13,19,0
13,20,0
13,21,0
13,22,0
13,23,0
13,24,0
13,25,1
13,26,0
13,27,1
14,1,0
14,2,0
14,3,0
14,4,0
14,5,0
14,6,0
14,7,0
14,8,1
14,9,1
14,10,0
14,11,0
15,1,0
15,2,0
15,3,0
15,4,0
15,5,0
15,6,0
15,7,0
15,8,0
15,9,0
15,10,1
16,1,0
16,2,0
16,3,1
16,4,0
16,5,1
16,6,0
16,7,0
16,8,1
16,9,0
16,10,1
16,11,0
16,12,0
16,13,1
16,14,0
17,1,0
17,2,0
17,3,1
17,4,0
17,5,1
17,6,0
17,7,0
17,8,0
17,9,0
17,10,0
17,11,0
18,1,0
18,2,0
18,3,0
18,4,0
18,5,1
18,6,0
18,7,0
18,8,1
18,9,0
18,10,0
18,11,1
18,12,1
18,13,0
19,1,0
19,2,0
19,3,0
19,4,0
19,5,1
19,6,0
19,7,0
19,8,0
19,9,0
19,10,0
19,11,0
19,12,1
19,13,0
19,14,1
19,15,0
19,16,0
20,1,0
20,2,1
20,3,0
20,4,0
20,5,0
20,6,1
20,7,1
20,8,1
20,9,1
20,10,0
21,1,0
21,2,0
21,3,0
21,4,0
21,5,0
21,6,0
21,7,1
21,8,0
21,9,0
21,10,1
21,11,0
21,12,1
22,1,0
22,2,0
22,3,0
22,4,0
22,5,0
22,6,0
22,7,0
22,8,1
22,9,0
22,10,1
22,11,0
23,1,0
23,2,0
23,3,0
23,4,0
23,5,1
23,6,1
23,7,0
23,8,0
23,9,0
23,10,0
23,11,1
23,12,0
23,13,0
23,14,0
23,15,0
23,16,1
23,17,0
23,18,0
23,19,1
23,20,0
23,21,1
23,22,0
23,23,0
23,24,0
24,1,0
24,2,1
24,3,0
24,4,0
24,5,1
24,6,1
24,7,0
24,8,0
24,9,0
24,10,1
24,11,0
24,12,0
24,13,0
24,14,1
24,15,0
24,16,0
24,17,0
24,18,0
24,19,1
24,20,0
24,21,1
24,22,1
24,23,1
24,24,0
25,1,0
25,2,0
25,3,0
25,4,0
25,5,0
25,6,0
25,7,1
25,8,0
25,9,0
25,10,1
25,11,0
25,12,0
25,13,0
25,14,0
25,15,0
25,16,0
25,17,0
25,18,0
25,19,1
25,20,1
25,21,0
25,22,1
25,23,0
25,24,1
25,25,0
25,26,0
25,27,0
26,1,0
26,2,0
26,3,1
26,4,0
26,5,0
26,6,0
26,7,1
26,8,1
26,9,1
26,10,0
26,11,0
26,12,0
27,1,0
27,2,0
27,3,0
27,4,0
27,5,0
27,6,0
27,7,0
27,8,1
27,9,0
27,10,0
27,11,1
27,12,0
27,13,0
27,14,0
27,15,1
27,16,0
27,17,1
27,18,0
27,19,0
28,1,0
28,2,0
28,3,0
28,4,0
28,5,0
28,6,1
28,7,0
28,8,0
28,9,0
28,10,0
28,11,0
28,12,1
28,13,1
29,1,0
29,2,0
29,3,0
29,4,0
29,5,0
29,6,0
29,7,1
29,8,0
29,9,0
29,10,1
29,11,0
29,12,0
29,13,1
29,14,0
29,15,0
29,16,0
29,17,0
29,18,0
29,19,0
30,1,0
30,2,0
30,3,0
30,4,0
30,5,0
30,6,0
30,7,0
30,8,0
30,9,0
30,10,0
30,11,1
31,1,0
31,2,0
31,3,0
31,4,0
31,5,0
31,6,0
31,7,0
31,8,0
31,9,0
31,10,0
31,11,1
31,12,0
31,13,0
31,14,1
32,1,0
32,2,0
32,3,0
32,4,1
32,5,0
32,6,0
32,7,0
32,8,1
32,9,0
32,10,0
32,11,1
32,12,0
32,13,0
33,1,0
33,2,0
33,3,0
33,4,0
33,5,0
33,6,1
33,7,0
33,8,0
33,9,1
33,10,0
33,11,0
33,12,0
33,13,0
33,14,0
33,15,0
33,16,0
34,1,0
34,2,0
34,3,0
34,4,0
34,5,1
34,6,0
34,7,0
34,8,0
34,9,0
34,10,1
34,11,0
34,12,0
34,13,0
34,14,0
34,15,0
34,16,0
34,17,0
34,18,0
34,19,0
34,20,0
34,21,0
34,22,1
34,23,0
34,24,0
34,25,0
35,1,0
35,2,0
35,3,0
35,4,0
35,5,0
35,6,0
35,7,1
35,8,1
35,9,0
35,10,0
35,11,0
35,12,0
36,1,0
36,2,0
36,3,0
36,4,1
36,5,0
36,6,0
36,7,1
36,8,0
36,9,0
36,10,0
36,11,0
36,12,0
36,13,0
36,14,0
36,15,0
36,16,0
36,17,1
36,18,1
36,19,0
36,20,0
37,1,0
37,2,0
37,3,1
37,4,0
37,5,0
37,6,0
37,7,0
37,8,0
37,9,1
37,10,1
37,11,0
37,12,0
37,13,0
37,14,0
37,15,0
37,16,1
38,1,0
38,2,0
38,3,1
38,4,0
38,5,0
38,6,1
38,7,0
38,8,0
38,9,1
38,10,0
38,11,0
38,12,0
38,13,1
38,14,0
38,15,0
38,16,1
38,17,0
39,1,0
39,2,0
39,3,0
39,4,0
39,5,0
39,6,0
39,7,0
39,8,0
39,9,0
39,10,0
39,11,1
39,12,0
39,13,1
39,14,0
39,15,0
39,16,1
39,17,0
39,18,0
39,19,0
39,20,0
39,21,1
39,22,0
39,23,0
39,24,0
40,1,0
40,2,0
40,3,0
40,4,0
40,5,1
40,6,0
40,7,0
40,8,0
40,9,0
40,10,0
40,11,0
40,12,1
40,13,0
40,14,0
40,15,0
40,16,0
41,1,0
41,2,1
41,3,0
41,4,0
41,5,0
41,6,0
41,7,0
41,8,0
41,9,0
41,10,1
41,11,1
41,12,0
41,13,0
41,14,0
41,15,0
41,16,1
41,17,0
41,18,1
41,19,0
41,20,0
42,1,0
42,2,0
42,3,1
42,4,0
42,5,0
42,6,1
42,7,1
42,8,0
42,9,0
42,10,0
42,11,0
42,12,0
42,13,0
42,14,0
42,15,0
42,16,0
42,17,0
42,18,0
42,19,1
42,20,0
42,21,1
42,22,0
43,1,0
43,2,0
43,3,0
43,4,0
43,5,0
43,6,0
43,7,0
43,8,1
43,9,0
43,10,0
43,11,0
43,12,0
43,13,1
43,14,0
44,1,0
44,2,0
44,3,0
44,4,0
44,5,0
44,6,0
44,7,1
44,8,0
44,9,0
44,10,1
44,11,0
44,12,0
44,13,1
44,14,1
44,15,0
44,16,1
44,17,0
44,18,0
44,19,0
44,20,0
44,21,0
44,22,0
44,23,0
44,24,0
44,25,1
45,1,0
45,2,0
45,3,0
45,4,0
45,5,1
45,6,0
45,7,1
45,8,0
45,9,0
45,10,0
45,11,1
45,12,0
45,13,0
45,14,0
46,1,0
46,2,0
46,3,0
46,4,0
46,5,0
46,6,0
46,7,0
46,8,0
46,9,0
46,10,1
46,11,0
47,1,0
47,2,0
47,3,0
47,4,0
47,5,0
47,6,0
47,7,0
47,8,0
47,9,0
47,10,1
47,11,0
47,12,0
47,13,0
47,14,0
47,15,0
47,16,0
47,17,0
47,18,0
47,19,0
48,1,0
48,2,0
48,3,0
48,4,0
48,5,0
48,6,0
48,7,0
48,8,0
48,9,0
48,10,1
48,11,0
48,12,0
48,13,0
48,14,0
48,15,0
48,16,1
48,17,0
49,1,0
49,2,0
49,3,1
49,4,0
49,5,0
49,6,0
49,7,0
49,8,0
49,9,0
49,10,0
49,11,0
49,12,0
49,13,0
49,14,0
50,1,0
50,2,0
50,3,0
50,4,1
50,5,0
50,6,0
50,7,0
50,8,0
50,9,1
50,10,0
50,11,1
50,12,0
50,13,0
50,14,0
50,15,0
50,16,0
50,17,0
50,18,0
50,19,0
50,20,0
50,21,0
50,22,1
50,23,0
51,1,0
51,2,0
51,3,0
51,4,0
51,5,0
51,6,0
51,7,0
51,8,1
51,9,0
51,10,0
51,11,0
51,12,0
51,13,0
51,14,0
51,15,1
51,16,1
51,17,1
51,18,0
51,19,0
51,20,0
51,21,0
51,22,1
52,1,0
52,2,0
52,3,1
52,4,0
52,5,0
52,6,0
52,7,1
52,8,0
52,9,0
52,10,0
52,11,0
52,12,1
52,13,0
53,1,0
53,2,0
53,3,0
53,4,1
53,5,1
53,6,0
53,7,0
53,8,0
53,9,1
53,10,1
53,11,0
53,12,0
53,13,0
53,14,1
53,15,0
54,1,0
54,2,0
54,3,0
54,4,0
54,5,0
54,6,0
54,7,0
54,8,0
54,9,1
54,10,0
54,11,0
55,1,0
55,2,1
55,3,0
55,4,0
55,5,1
55,6,1
55,7,0
55,8,0
55,9,0
55,10,0
55,11,0
55,12,0
55,13,0
55,14,0
55,15,1
55,16,1
55,17,0
55,18,0
55,19,0
56,1,0
56,2,0
56,3,1
56,4,0
56,5,0
56,6,0
56,7,0
56,8,0
56,9,0
56,10,0
56,11,0
56,12,0
56,13,0
56,14,0
56,15,1
56,16,0
56,17,0
56,18,0
56,19,0
57,1,0
57,2,0
57,3,0
57,4,0
57,5,0
57,6,0
57,7,0
57,8,0
57,9,0
57,10,0
58,1,0
58,2,1
58,3,0
58,4,0
58,5,0
58,6,0
58,7,0
58,8,0
58,9,0
58,10,0
58,11,0
58,12,0
58,13,0
58,14,0
58,15,0
58,16,0
59,1,0
59,2,1
59,3,0
59,4,0
59,5,0
59,6,0
59,7,0
59,8,1
59,9,0
59,10,0
59,11,0
59,12,0
59,13,0
59,14,0
59,15,0
60,1,0
60,2,0
60,3,0
60,4,0
60,5,0
60,6,1
60,7,0
60,8,0
60,9,0
60,10,0
60,11,0
60,12,0
60,13,0
60,14,0
